job_id,job_title,company,location,description,posted_date,expiry_date,salary_min,salary_max,experience
,"Accounts Payable Administrator, Washington DC",Cogent Communications,,"Company: Cogent Communications is a global, Tier 1 facilities-based ISP, consistently ranked as one of the top five networks in the world and is publicly traded on the NASDAQ Stock Market under the ticker symbol CCOI. Cogent specializes in providing businesses with high speed Internet access and Ethernet transport services. Cogent's facilities-based, all-optical IP network backbone provides IP services globally. Since its inception, Cogent has unleashed the benefits of IP technology, building one of the largest and highest capacity IP networks in the world. This network enables Cogent to offer large bandwidth connections at highly competitive prices. Cogent also offers superior customer support by virtue of its end-to-end control of service delivery and network monitoring. A competitive base salary and a full benefits package including; Health, Dental, Vision, Paid Time Off ( PTO), Short and Long Term Disability, Life Insurance, Holidays, Parental Leave, 401 ( k) plan with employer match, stock options, and an Employee Assistance Program. Most benefits take effect within 30 days of employment, and some require a waiting period. Responsibilities: Process Purchase Orders requests within 24 hours of receipt for multiple entities Monitor and process requests from the accounts payable email inbox. Print and distribute all invoices received daily. Open, stamp and distribute all invoices received though the US mail. Assist with the processing of AP vendor invoices for multiple entities. Process certain check requests. Assist with resolution of internal and external inquiries related to purchase orders and invoices. File invoices and created new folders for all new vendors. Match electronic payments and checks with invoices for weekly check run and circuit payments. File W-9 forms for new vendors in appropriate binders. Review accounts payable vendor files at year end for archiving. Label, tag and log all boxes to be sent to offsite storage. Assist with ad hoc duties as needed. Circuit Related Activities: Assist Telco Billing team with: Daily inventory circuits and payment system. Daily inventory of mail: opening, keying invoice information into mail log, sorting and distributing mail to the various team members Managing the invoicing inbox in outlook. Qualifications: Undergraduate degree – finance, business and/or accounting is preferable 0-3 years of experience in telecommunications industry Hands-on experience with General Ledger and various accounting systems Experience with Great Plains is preferable Proficiency with Microsoft Excel Excellent verbal communication and written skills COVID-19 Policy: Cogent has adopted a mandatory vaccination and booster policy which requires all U.S. employees to be fully vaccinated ( including booster shots when eligible) against COVID-19. Prior to beginning employment, new employees must provide proof of vaccination or apply for and receive an accommodation to be exempt from the policy. By submitting an application or resume for this position, I understand that is an in-office position and agree to abide Cogent’s mandatory vaccination policy. To apply for the Accounts Payable Administrator position, please submit your resume and cover letter to careers@cogentco.com . Cogent Communications is an Equal Opportunity Employer.",,,,,
,"Senior Infrastructure Software Engineer, ML Platform",Dropbox,,"Company Description Dropbox is a special place where we are all seeking to fulfill our mission to design a more enlightened way of working. We’re looking for innovative talent to join us on our journey. The words shared by our founders at the start of Dropbox still ring true today. Wouldn’t it be great if our working environment—and the tools we use—were designed with people’s actual needs in mind? Imagine if every minute at work were well spent—if we could focus and spend our time on the things that matter. This is possible, and Dropbox is connecting the dots. The nearly 3,000 Dropboxers around the world have helped make Dropbox a living workspace - the place where people come together and their ideas come to life. Our 700+ million global users have been some of our best salespeople, and they have helped us acquire customers with incredible efficiency. As a result, we reached a billion dollar revenue run rate faster than any software-as-a-service company in history. Dropbox is making the dream of a fulfilling and seamless work life a reality. We hope you’ll join us on the journey. Team Description Our Engineering team is working to simplify the way people work together. They’re building a family of products that handle over a billion files a day for people around the world. With our broad mission and massive scale, there are countless opportunities to make an impact. Role Description As a Senior Software Engineer joining our Machine Learning platform team, you will shape the Machine Learning foundation for Dropbox. In this role, you will be crucial in architecting and developing reliable and performant software infrastructure that enables our customers to build high impact ML solutions at scale. You will work closely with machine learning engineers and data scientists to develop and maintain new systems and tooling, accelerating their ML development velocity and providing great and unified user experiences throughout the whole ML lifecycle. We care deeply about collaboration, feedback, and iteration. Trust and respect are deeply rooted in our engineering culture. We're bold when it comes to shipping high-leverage projects, even if they're risky or novel. We hope you'll join us! Responsibilities You will identify and lead strategic initiatives that streamline ML Operations (MLOps), optimize platform performance, and improve system health You will design, build, test and maintain scalable and reliable infrastructure that supports machine learning workflows from training to serving ML models You will provide technical leadership and guidance to engineers and multi-functional partners You will collaborate with cross-functional teams to understand their requirements and develop solutions that meet their needs Requirements BS, MS, or PhD in Computer Science or related technical field involving coding (e.g., physics or mathematics), or equivalent technical experience 8+ years of professional software development experience Extensive experience building and owning large-scale, multi-threaded, geographically distributed backend systems Experience with ML infrastructure Highly skilled at developing and debugging in C/C++, Java, or Go, with knowledge of Python a plus Strong communication skills and ability to work effectively in a collaborative team environment Familiarity with relevant technology stacks a plus (ie. AWS, Kubernetes, Docker, Kubeflow, Ray, Tensorflow, PyTorch) Total Rewards For candidates hired in San Francisco metro, New York City metro, or Seattle metro, the expected salary/On-Target Earnings (OTE) range for the role is currently $206,600 - $243,000 - $279,500. For candidates hired in the following locations: Austin (TX) metro, Chicago metro, California (outside SF metro), Colorado, Connecticut (outside NYC metro), Delaware, Massachusetts, New Hampshire, New York (outside NYC metro), Oregon, Pennsylvania (outside NYC or DC metro), Washington (outside Seattle metro) and Washington DC metro, the expected salary/On-Target Earnings (OTE) range for the role is currently $185,900 - $218,700 - $251,500. For candidates hired in all other US locations, the expected salary/On-Target Earnings (OTE) range for this role is currently $165,200 - $194,400 - $223,600. Range(s) is subject to change. Dropbox takes a number of factors into account when determining individual starting pay, including job and level they are hired into, location/metropolitan area, skillset, and peer compensation. Dropbox uses the zip code of an employee’s remote work location to determine which metropolitan pay range we use. Salary/OTE is just one component of Dropbox’s total rewards package. All regular employees are also eligible for the corporate bonus program or a sales incentive (target included in OTE) as well as stock in the form of Restricted Stock Units (RSUs). Dropbox is an equal opportunity employer. We are a welcoming place for everyone, and we do our best to make sure all people feel supported and connected at work. A big part of that effort is our support for members and allies of internal groups like Asians at Dropbox, BlackDropboxers, Latinx, Pridebox (LGBTQ), Vets at Dropbox, Women at Dropbox, ATX Diversity (based in Austin, Texas) and the Dropbox Empowerment Network (based in Dublin, Ireland).",,,,,
,Administrative Assistant,mactech,,"Job Description Mac-Tech Inc is looking to add to our rapidly growing company, we are seeking an Administrative Assistant to support our President. We are seeking a detail-oriented individual with accurate data entry skills, professional phone etiquette, and organizational ability to join our team! We are a fun, family-owned business in manufacturing looking for someone that can hit the ground running. I have 10,291 emails in my inbox–if you’re the right fit for this position, your inbox is at zero. My desk is covered with stacks of papers and business cards–if you’re the right fit for this position your desk is clutter-free. If I don’t reply to my business correspondence promptly it costs me money. It's impossible for me to go through and respond to every inquiry, email, and voicemail. You should be of the opposite mindset and not feel good until all correspondence is replied to. Details Light bookkeeping Create SOC’s and Quotes Follow-up with customers General Administrative Support OWN my schedule Manage travel and meeting logistics Order supplies Meet once per week to pick up “the stack” and get on the same page Routine Communication Communicate and follow up with customers Review e-mail messages Delete junk mail Respond to basic inquiries, schedule follow-up meetings Hold valuable informational messages in a folder to be shared weekly Re-route emails that require my input to ensure I respond efficiently and effectively as a team Be open and honest at all times. Why Mac-Tech Our philosophy has remained consistent over the last 39 years: We maintain a relentless obsession to serve our customers. Mac-Tech was founded in 1984 to service and support metal fabrication equipment. We’ve been in business for over 39 years and are well-positioned to service and support our customer base throughout North America. At Mac-Tech, we strive to develop long-term partnerships with our customers and leave a positive lasting impression every time. Company Description Mac-Tech Inc. is a leader in selling and servicing predominately new and some used metal fabrication machinery for 38 years specializing in: Metal roofing machinery Press brakes Fiber lasers Plasma cutters Programming and software solutions Robotic welding systems Structural beamline solutions Metal shears Deburring machines We adhere to a structured, time-tested sales process that delivers results. We are committed to excellence in customer up-time and need strong leadership to ensure this. We have industry-leading benefits including premium Health Care,401K, and complete respect for our team partners. Mac-Tech is a family-first company that values each and every team member's personal life while focusing on business excellence. Mac-Tech Inc. is a leader in selling and servicing predominately new and some used metal fabrication machinery for 38 years specializing in: Metal roofing machinery Press brakes Fiber lasers Plasma cutters Programming and software solutions Robotic welding systems Structural beamline solutions Metal shears Deburring machines We adhere to a structured, time-tested sales process that delivers results. We are committed to excellence in customer up-time and need strong leadership to ensure this. We have industry-leading benefits including premium Health Care,401K, and complete respect for our team partners. Mac-Tech is a family-first company that values each and every team member's personal life while focusing on business excellence.",,,,,
,Business Development Representative,"Access Systems, Inc.",,"Job Type: Full-Time Job Location: Onsite – Omaha Office Hours: Monday–Friday, 8am–5pm Access Systems, a dynamic and fast-growing company, is actively hiring a Business Development Representative. You will establish relationships in existing territories, using lead generation strategies to set appointments for our sales representatives—make up to $65k your first year! What You'll Be Doing as a Business Development Representative: Establish relationships with decision-makers and customers. Ability to excel at industry research, relationship development, and organizing business meetings within existing sales territories. Prospect using lead generation strategies to set appointments for sales representatives. What We're Looking for in a Business Development Representative: No sales experience is needed, but having some exposure is an asset. Strong customer service, communication, and relationship-building skills. Achieve established goals while also collaborating with the marketing and sales team. Ability to persevere and take on challenges with a positive attitude. Join Our Team and Enjoy: Competitive salary and incentives such as an 8am-3pm work shift upon reaching metrics. Full Benefits Package, including Medical, Dental, and Vision Insurance. Matching 401(k) Retirement Savings Plan. Generous Holiday and Paid Time Off. Continuous Training Opportunities and Career Advancement. Company Events, Team Events, Holiday Banquets, and Recognition President Club Trips for top performers. At Access, we prioritize what matters most to your career: stability, a fast-paced environment, constant learning, and a driven team focused on success. As a consistent Top Workplace with an employee-centric culture, we genuinely care about our people and provide transparent leadership with a growth-oriented vision. Join our Midwest-based company, founded in 1986, which has evolved into one of the largest independent technology dealers, offering the resources and rewards of a larger organization while maintaining the close-knit feel of a smaller company. Our culture fosters a perfect blend of ambition and playfulness, empowering our team members to achieve personal and professional growth while enjoying the journey. With competitive salaries, comprehensive benefits, a matching 401K retirement savings plan, continuous training opportunities, and clear paths for career advancement, Access Systems is the right fit for your career aspirations.",,,,,
,Future Openings – General Interest,Live On Nebraska,,"We are one of 57 organ procurement organizations throughout the country. We are an independent, non-profit organization dedicated to saving and healing lives through organ, tissue, and eye donation. Our service area includes all of Nebraska and Pottawattamie County, Iowa. As An OPO, We Have Three Main Responsibilities Recover organs and tissues for transplantation Maintain the Donor Registry of Nebraska Provide education on the importance of donation and grow the donor registry Future Openings Interested in joining our team here at Live On, but don't see a good match in our current openings? Submit your resume here. We will keep it on file and reach out to you if we are hiring for roles where you might be a great fit. We are steadily growing and are always excited to hear from people who are inspired by our mission and want to become part of it! General Requirements Most of our positions are based in the Omaha Metropolitan area though with a few opportunities in central Nebraska. We also hire remote Donation Coordinators for our Communication Team from time to time in the following states: Nebraska, Florida, Missouri, Virginia, and Wisconsin. Benefits Our team is our greatest asset, and compensation is more than just a paycheck. We offer a comprehensive benefits package designed to take care of you while you’re taking care of those who help us save and enhance lives. Here are just a few of the perks we offer: Paid time off: You begin accruing PTO with your first paycheck. Health insurance: Live On Nebraska pays up to 90% of our employees’ health insurance premiums Tuition reimbursement: Expand your knowledge and opportunities with company-paid tuition reimbursement. Retirement Contribution: We make it easy to save for your future by offering above-average contributions to your 401k Wellness programming: LON offers a wellness program that supports your mental and physical wellness.",,,,,
,LICENSED HEALTH INSURANCE AGENT,Balance Staffing Company,,"Balance Staffing is a staffing agency that brings candidates and employers together. To us, job seekers are more than a resume; they are unique individuals working to achieve their career dreams. BALANCE STAFFING IS LOOKING TO HIRE A ""LICENSED HEALTH INSURANCE AGENT"" TO WORK FULL-TIME IN AN OFFICE IN EL PASO, TX, USA This is a captive position (Definition: captive insurance agents are contracted to work for one insurance company and can only sell that company's policies) Type: Direct Hire for Seasonal position ending on 12/7 Location: 1462 Lionel Dr, El Paso, TX 79936 Overview: Answering a high amount of inbound calls from new and current clients - selling Medicare products through the specified carrier Assisting customers with selecting a plan Answering customer questions Building and maintaining customer relationships Keeping records confidential License (Required): Active “Health Insurance License” (Must have their resident license in the state they are currently living in) AHIP will be provided to the candidates in training (AHIP stands for America's Health Insurance Plans, a national trade organization created in 2013 by merging the American Association of Health Plans (AAHP) and the Health Insurance Association of America (HIAA).) Other Requirements: Quiet & Professional Workplace 18 years of age or older High School Diploma or equivalent Basic Computer Knowledge/Skills Training: 5 weeks long in duration (8 am-4:30 pm Mon-Fri MST) Pay: $21.50/hour pay rate Bonus Pay: All Agents will be eligible for ‘performance-based’ bonuses at 0.50/ hour Schedule: Full-Time 40 Hours Work Week Within Hours Of Operation (See hours of operation below) Opportunities to work overtime in the peak weeks of AEP Hours of Operation: Monday - Friday, 7 AM - 7 PM MST (need open availability between HOOPS) Equipment: Will be provided ________________________________________________________________________________________ APPLY AND CONTACT RECRUITER: SHUBHANGI SINGH 209-509-4154 FOR THE NEXT STEPS! Balance Staffing is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity Veteran status, or any other characteristic protected by federal or state law",,,,,
,Waitstaff,Holiday by Atria,,"No experience needed! Apply today. Benefits As a part of our culinary team, you’ll make our residents feel like they’re dining in a restaurant – while you start a career with exceptional advancement opportunities, competitive pay, true work-life balance, and great benefits*, including Holiday by Atria has immediate openings for Waitstaff employees. Paid holidays and PTO Health / Dental / Vision / Life Insurance 401(k) employer match Tuition reimbursement We provide all the training you’ll need, so no experience is required. To join the team at Holiday by Atria, apply now. Eligibility may vary depending on full-time/part-time status and location Basic reading, writing, and math skills Effective verbal and written English skills General knowledge of sanitation and safe food handling practices No experience needed On-the-job training – get paid to get trained! Apply now to build your career with team Holiday by Atria. Atria is an equal opportunity employer committed to providing equal employment opportunities without regard to race, color, religion, sex (including pregnancy), sexual orientation, age, national origin, disability, genetic information, veteran status, or any other classification protected by applicable law. What You Will Do As a Waitstaff Set and clear tables, take residents’ dining orders, and provide the highest level of customer service. Review menus with residents and acquaint new residents with dining at Atria. Assist with the preparation, delivery, and cleanup of daily meals, banquets, and special events. Create a strong sense of teamwork with your colleagues and positive relationships with residents. Clean and sanitize carpet, tables, chairs, condiment containers, and equipment used in the dining room.",,,,,
,Engineering Control Account Manager - F35 & IFG Materials,Lockheed Martin,,"We are Lockheed Martin This position is in Test and Evaluation System Design & Operations team and supports the F35 IFG Instrumentation system design, FTI engineering Labs, Equipment Provisioning and Procurement. The successful candidate will be an individual with design experience and CAM Material experience to provide technical, cost and schedule responsibility over a wide variety of projects. The split of technical and CAM responsibilities will be approximately 40% and 60% respectively. The candidate will be the Control Account Manager (CAM) for all Material activities within this team and will have demonstrated the ability to understand complex technical engineering and programmatic issues and produce solutions that are both innovative and cost effective. The candidate will also be responsible for the materials cost and schedule, and cognizant of technical performance throughout the lifecycle of the program. This individual will monitor execution of all authorized tasks, identify, and resolve performance issues, and ensure the completion of contract requirements across multiple simultaneous projects. A level 4 employee Typically has 9 - 15 years of professional experience **Must be a US Citizen. This position is located at a facility that requires special access.** Engineering Aeronautics What’s In It For You Our employees play an active role in strengthening the quality of life where we live and work by volunteering more than 850,000 hours annually. Here are some of the benefits you can enjoy: Medical Dental 401k Paid time off Work/life balance Career development Mentorship opportunities Rewards & recognition Learn more about Lockheed Martin’s comprehensive benefits package here. aeroFTIE",,,,,
,Porter (Floater),Adamas Building Services,,"Job Description Adamas Building Services is now hiring a Handy Porter. We are looking for someone well organized, who can complete work orders, and keep the building clean and detailed inside and outside. We are searching for a team player who also has no issues getting things done on their own. Shifts Available : Monday-Friday On call/Saturday-Sunday On Call Pay Rate : $19.00/hr Weekly Pay Medical, Dental, 401K ADA EOE: Company Description Adamas Building Services’ is dedicated to delivering an exceptional service experience to your residents, and it all starts with our most valued assets, our employees. Adamas is built on a strong foundation of “Employees First.” By training, motivating, and rewarding our team, we constantly inspire them to be their best, in turn providing our clients with the highest level of White Glove Service they’ve come to expect and deserve. Adamas Building Services’ is dedicated to delivering an exceptional service experience to your residents, and it all starts with our most valued assets, our employees. Adamas is built on a strong foundation of “Employees First.” By training, motivating, and rewarding our team, we constantly inspire them to be their best, in turn providing our clients with the highest level of White Glove Service they’ve come to expect and deserve.",,,,,
,Remote Electrical Engineer,Jobot,,"Want to learn more about this role and Jobot? Click our Jobot logo and follow our LinkedIn page! Job details We are a cutting edge next generational engineering company seeking an experienced Electrical Engineer to join our growing team! This Jobot Job is hosted by Josh Rabinowitz Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary $105,000 - $165,000 per year A Bit About Us We are one of the fastest growing engineering firms in the U.S. and are growing at a tremendous pace. As an Electrical Engineer specializing in power systems with experience in municipalities and the public sector, you will play a crucial role in designing, implementing, and managing electrical projects for our clients. You will work closely with government bodies, municipalities, and public organizations to address their unique power system requirements and deliver innovative solutions. Currently we're seeking a highly motivated and experienced Electrical Engineer to join our dynamic and talented team. If this opportunity sounds like the role for you please read on.... Why join us? Do you want to help save the worlds most precious resource? We do too! Competitive Base Salary! Extremely Competitive Equity Package! Flexible Work Schedules! Accelerated Career Growth! Job Details Bachelor's degree in Electrical Engineering or a related field. Proven experience in electrical engineering with a focus on design and implementation. Proficiency in AutoCAD, Power Supplies, and/or Microstation, with a demonstrated ability to produce accurate technical drawings and schematics. Solid understanding of electrical principles, power supplies, and distribution systems. Strong analytical and problem-solving skills to tackle complex engineering challenges. We can offer you the opportunity to work on State-of-the-Art technologies with a tremendous amount of opportunity to grow from within our organization. So if this sounds like the opportunity for you please apply today! Interested in hearing more? Easy Apply now by clicking the ""Apply"" button. Want to learn more about this role and Jobot? Click our Jobot logo and follow our LinkedIn page!",,,,,
